index,input,output
228,-0.932682,-0.454518
229,-0.93151,-0.454567
230,-0.930337,-0.454615
231,-0.929165,-0.454664
232,-0.927992,-0.454712
233,-0.92682,-0.454761
234,-0.925647,-0.454809
235,-0.924475,-0.454857
236,-0.923302,-0.454906
237,-0.92213,-0.454954
238,-0.920958,-0.455002
239,-0.919785,-0.45505
240,-0.918613,-0.455098
241,-0.91744,-0.455146
242,-0.916268,-0.455194
243,-0.915095,-0.455242
244,-0.913923,-0.45529
245,-0.91275,-0.455337
246,-0.911578,-0.455385
247,-0.910406,-0.455433
248,-0.909233,-0.455481
249,-0.908061,-0.455528
250,-0.906888,-0.455576
251,-0.905716,-0.455623
252,-0.904543,-0.455671
253,-0.903371,-0.455718
254,-0.902198,-0.455765
255,-0.901026,-0.455813
256,-0.899853,-0.45586
257,-0.898681,-0.455907
258,-0.897509,-0.455954
259,-0.896336,-0.456001
260,-0.895164,-0.456048
261,-0.893991,-0.456095
262,-0.892819,-0.456142
263,-0.891646,-0.456189
264,-0.890474,-0.456236
265,-0.889301,-0.456283
266,-0.888129,-0.45633
267,-0.886957,-0.456376
268,-0.885784,-0.456423
269,-0.884612,-0.456469
270,-0.883439,-0.456516
271,-0.882267,-0.456563
272,-0.881094,-0.456609
273,-0.879922,-0.456655
274,-0.878749,-0.456702
275,-0.877577,-0.456748
276,-0.876405,-0.456794
277,-0.875232,-0.456841
278,-0.87406,-0.456887
279,-0.872887,-0.456933
280,-0.871715,-0.456979
281,-0.870542,-0.457025
282,-0.86937,-0.457071
283,-0.868197,-0.457117
284,-0.867025,-0.457163
285,-0.865852,-0.457209
286,-0.86468,-0.457254
287,-0.863508,-0.4573
288,-0.862335,-0.457346
289,-0.861163,-0.457391
290,-0.85999,-0.457437
291,-0.858818,-0.457483
292,-0.857645,-0.457528
293,-0.856473,-0.457574
294,-0.8553,-0.457619
295,-0.854128,-0.457664
296,-0.852956,-0.45771
297,-0.851783,-0.457755
298,-0.850611,-0.4578
299,-0.849438,-0.457845
300,-0.848266,-0.45789
301,-0.847093,-0.457936
302,-0.845921,-0.457981
303,-0.844748,-0.458026
304,-0.843576,-0.45807
305,-0.842404,-0.458115
306,-0.841231,-0.45816
307,-0.840059,-0.458205
308,-0.838886,-0.45825
309,-0.837714,-0.458294
310,-0.836541,-0.458339
311,-0.835369,-0.458384
312,-0.834196,-0.458428
313,-0.833024,-0.458473
314,-0.831851,-0.458517
315,-0.830679,-0.458562
316,-0.829507,-0.458606
317,-0.828334,-0.45865
318,-0.827162,-0.458695
319,-0.825989,-0.458739
320,-0.824817,-0.458783
321,-0.823644,-0.458827
322,-0.822472,-0.458871
323,-0.821299,-0.458915
324,-0.820127,-0.458959
325,-0.818955,-0.459003
326,-0.817782,-0.459047
327,-0.81661,-0.459091
328,-0.815437,-0.459135
329,-0.814265,-0.459179
330,-0.813092,-0.459223
331,-0.81192,-0.459266
332,-0.810747,-0.45931
333,-0.809575,-0.459353
334,-0.808403,-0.459397
335,-0.80723,-0.459441
336,-0.806058,-0.459484
337,-0.804885,-0.459527
338,-0.803713,-0.459571
339,-0.80254,-0.459614
340,-0.801368,-0.459657
341,-0.800195,-0.459701
342,-0.799023,-0.459744
343,-0.797851,-0.459787
344,-0.796678,-0.45983
345,-0.795506,-0.459873
346,-0.794333,-0.459916
347,-0.793161,-0.459959
348,-0.791988,-0.460002
349,-0.790816,-0.460045
350,-0.789643,-0.460088
351,-0.788471,-0.460131
352,-0.787299,-0.460173
353,-0.786126,-0.460216
354,-0.784954,-0.460259
355,-0.783781,-0.460301
356,-0.782609,-0.460344
357,-0.781436,-0.460386
358,-0.780264,-0.460429
359,-0.779091,-0.460471
360,-0.777919,-0.460514
361,-0.776747,-0.460556
362,-0.775574,-0.460598
363,-0.774402,-0.46064
364,-0.773229,-0.460683
365,-0.772057,-0.460725
366,-0.770884,-0.460767
367,-0.769712,-0.460809
368,-0.768539,-0.460851
369,-0.767367,-0.460893
370,-0.766194,-0.460935
371,-0.765022,-0.460977
372,-0.76385,-0.461019
373,-0.762677,-0.461061
374,-0.761505,-0.461102
375,-0.760332,-0.461144
376,-0.75916,-0.461186
377,-0.757987,-0.461228
378,-0.756815,-0.461269
379,-0.755642,-0.461311
380,-0.75447,-0.461352
381,-0.753298,-0.461394
